#OTU ID	N_01	N_02	N_03	N_04	N_05	N_06	N_07	N_08	N_09	O_01	O_02	O_03	O_04	O_05	O_06	O_07	O_08	O_09	O_10	O_11	O_12	O_13
3b32ed0e7eeb5c90fe7673da1480c197	2068.0	19345.0	4135.0	14973.0	4248.0	4007.0	15327.0	6396.0	8987.0	20547.0	3692.0	1297.0	8283.0	3315.0	4162.0	3420.0	3205.0	8823.0	3581.0	9701.0	17231.0	14338.0
599a73cad76351bcc6176f64e183b643	1993.0	7733.0	986.0	4735.0	4487.0	3168.0	1403.0	397.0	2892.0	3315.0	5061.0	6531.0	5082.0	2654.0	3974.0	5761.0	3930.0	2736.0	1352.0	6351.0	2249.0	4969.0
7efcbe92466c1fa22231593521305dd6	106.0	325.0	889.0	419.0	13412.0	242.0	6001.0	949.0	650.0	656.0	1701.0	3055.0	1569.0	1500.0	289.0	5414.0	7374.0	6784.0	1092.0	330.0	892.0	317.0
dcbdf5fb83cba103562e6c0a0b5c8c31	14119.0	1247.0	3600.0	1845.0	716.0	9188.0	1542.0	2815.0	2558.0	628.0	355.0	419.0	1541.0	1084.0	1440.0	369.0	271.0	1985.0	849.0	369.0	4680.0	430.0
7ad780a45078dfbf836a95b36c45deef	128.0	1430.0	2175.0	2074.0	1106.0	1307.0	980.0	1052.0	595.0	436.0	694.0	7820.0	1315.0	796.0	732.0	692.0	9388.0	1049.0	1240.0	1374.0	995.0	3506.0
94ea0cf0f0fc7c8f21b14c876a6531e5	1751.0	308.0	853.0	294.0	597.0	642.0	848.0	792.0	741.0	270.0	369.0	580.0	2121.0	834.0	501.0	1463.0	9100.0	1033.0	812.0	848.0	1482.0	3410.0
3074bb41aedea5570b07a060bf4b69bf	1746.0	498.0	120.0	83.0	536.0	5869.0	1860.0	9768.0	87.0	430.0	323.0	0.0	156.0	106.0	121.0	228.0	0.0	598.0	1392.0	0.0	2423.0	1792.0
863baabe1481f5f03d1272ce4b32bbcc	590.0	1493.0	2612.0	2068.0	1597.0	420.0	181.0	331.0	1183.0	983.0	460.0	1325.0	1497.0	1116.0	1494.0	996.0	1518.0	827.0	724.0	1223.0	1530.0	2187.0
f965a671b905639699196aaa0a6bb401	3819.0	302.0	521.0	1495.0	774.0	2361.0	336.0	4647.0	6011.0	348.0	143.0	80.0	0.0	65.0	49.0	145.0	58.0	367.0	228.0	107.0	2411.0	1221.0
3b0324511e96887e279727316d44e9b7	123.0	324.0	240.0	1736.0	454.0	1752.0	1322.0	283.0	172.0	1221.0	773.0	153.0	7270.0	186.0	445.0	229.0	123.0	4272.0	555.0	209.0	859.0	254.0
f662f77840121b3d51dc129643a2ba23	160.0	3058.0	233.0	1341.0	151.0	481.0	55.0	43.0	229.0	681.0	1321.0	272.0	325.0	458.0	442.0	1217.0	1514.0	319.0	772.0	8801.0	300.0	231.0
a9c254129f7a6ae57816b4a3a02809c0	78.0	139.0	202.0	1461.0	2192.0	117.0	851.0	2338.0	263.0	246.0	113.0	142.0	315.0	216.0	125.0	106.0	219.0	6276.0	464.0	68.0	389.0	2374.0
62975596ec83abe05eb667fabcf4dae7	312.0	659.0	95.0	877.0	261.0	1340.0	2348.0	246.0	904.0	1065.0	6070.0	147.0	254.0	229.0	216.0	568.0	183.0	342.0	263.0	140.0	415.0	294.0
6b3e668d3a5e0c8e67160dde23e4ea09	0.0	147.0	299.0	226.0	2709.0	501.0	1172.0	77.0	190.0	257.0	584.0	1006.0	550.0	1356.0	152.0	2191.0	2642.0	1409.0	308.0	221.0	886.0	76.0
b90a25d9870de1984abe52f12ecc90c0	6020.0	300.0	2385.0	130.0	128.0	760.0	163.0	176.0	112.0	61.0	86.0	69.0	130.0	235.0	2149.0	99.0	148.0	63.0	152.0	73.0	43.0	134.0
e6050f1b1452a4f498ea2f4a31eac40a	475.0	460.0	431.0	244.0	438.0	383.0	160.0	88.0	1221.0	251.0	120.0	1099.0	2695.0	301.0	263.0	296.0	254.0	321.0	168.0	424.0	1602.0	1610.0
05159ecef60dee0c9275914d41c8fd53	369.0	165.0	9271.0	155.0	130.0	114.0	246.0	182.0	250.0	185.0	52.0	236.0	41.0	39.0	30.0	127.0	359.0	206.0	266.0	25.0	248.0	86.0
af55a51d70309b5a90881e13baeaa35f	0.0	59.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	575.0	8820.0	252.0	113.0	345.0	114.0	178.0	132.0	0.0	190.0	111.0	0.0	0.0
da79c389cd23dd866ee1008ef5c248ab	46.0	116.0	166.0	2104.0	214.0	196.0	457.0	1532.0	270.0	457.0	154.0	292.0	417.0	161.0	107.0	158.0	210.0	513.0	337.0	322.0	897.0	1112.0
ceab618a6d5d915ae7a6338c9efd0fa5	56.0	365.0	227.0	727.0	206.0	360.0	588.0	465.0	191.0	461.0	86.0	268.0	608.0	217.0	128.0	160.0	1204.0	604.0	207.0	137.0	1307.0	1497.0
4e29949fbf33f687665c7ec95d0b1b26	5.0	35.0	390.0	33.0	822.0	56.0	441.0	146.0	2014.0	82.0	68.0	505.0	469.0	876.0	820.0	721.0	324.0	272.0	355.0	26.0	820.0	728.0
887a09354d908590ad7bb6d121043e8a	558.0	149.0	180.0	67.0	139.0	295.0	179.0	176.0	95.0	32.0	133.0	105.0	156.0	1051.0	5354.0	233.0	115.0	60.0	244.0	136.0	84.0	257.0
981a06d7150093f09fd2672f5b9c8286	0.0	0.0	0.0	159.0	270.0	148.0	105.0	0.0	0.0	108.0	838.0	131.0	200.0	3795.0	981.0	1271.0	0.0	184.0	155.0	968.0	209.0	138.0
fd9293c3f107b768237906f08e8f5551	83.0	200.0	160.0	934.0	253.0	424.0	354.0	165.0	351.0	2294.0	245.0	114.0	363.0	128.0	715.0	165.0	69.0	282.0	194.0	295.0	474.0	435.0
6aa79099f5fbaebb9324d51973e8e79e	0.0	0.0	304.0	0.0	0.0	112.0	34.0	29.0	31.0	64.0	112.0	2619.0	153.0	327.0	88.0	216.0	3812.0	75.0	172.0	102.0	49.0	44.0
717df1c5c615e57870a5681e8e658d28	75.0	118.0	352.0	144.0	283.0	230.0	388.0	105.0	166.0	468.0	109.0	2547.0	1189.0	134.0	62.0	212.0	98.0	119.0	152.0	517.0	590.0	119.0
5bba92bd5abf2811d47296328cb0a770	0.0	91.0	155.0	4158.0	0.0	0.0	0.0	0.0	94.0	333.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	140.0	0.0	298.0	164.0	2425.0
bba7962c72382d5f803e5df5497f9d83	6582.0	286.0	0.0	0.0	0.0	624.0	103.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61749f28d7b0c6241961e12e406b6a5c	34.0	721.0	98.0	414.0	129.0	149.0	155.0	24.0	121.0	903.0	115.0	121.0	378.0	243.0	396.0	1865.0	201.0	177.0	396.0	370.0	259.0	141.0
59248902514ffc2a26fc591405da4fc1	129.0	821.0	85.0	453.0	98.0	150.0	1968.0	188.0	182.0	241.0	53.0	56.0	198.0	73.0	1343.0	168.0	62.0	98.0	91.0	59.0	433.0	310.0
1caecd4f3bb39e2b3b2b44973e0a7482	13.0	17.0	440.0	0.0	0.0	26.0	32.0	2498.0	519.0	14.0	37.0	49.0	44.0	89.0	2414.0	56.0	75.0	89.0	236.0	0.0	23.0	165.0
3351b6b4b501bb5bb64917766cafec5b	0.0	195.0	111.0	46.0	0.0	171.0	23.0	0.0	0.0	210.0	3275.0	135.0	223.0	167.0	73.0	330.0	919.0	53.0	185.0	184.0	332.0	24.0
b5d49db9d9ccb60a34050267bfcc36fe	493.0	316.0	195.0	436.0	695.0	288.0	315.0	302.0	635.0	308.0	142.0	192.0	170.0	138.0	281.0	189.0	52.0	361.0	137.0	101.0	530.0	318.0
2f4a2b08eec8d8d5f66dc0d20552881f	3.0	10.0	573.0	521.0	337.0	160.0	46.0	162.0	289.0	325.0	189.0	819.0	99.0	395.0	183.0	254.0	463.0	421.0	524.0	401.0	234.0	162.0
5758229585a8759c0c84a25b1749431a	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	402.0	4800.0	93.0	97.0	183.0	110.0	175.0	131.0	0.0	186.0	133.0	0.0	0.0
dbba23495c133cc40f6aceba673d8246	0.0	193.0	0.0	0.0	0.0	88.0	599.0	606.0	75.0	148.0	1109.0	92.0	141.0	76.0	0.0	335.0	194.0	105.0	266.0	200.0	2159.0	0.0
64f0e2b10b2ac63008334586cda646c5	92.0	5083.0	88.0	149.0	47.0	45.0	20.0	20.0	74.0	332.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	83.0	123.0
