OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
3b32ed0e7eeb5c90fe7673da1480c197	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned
599a73cad76351bcc6176f64e183b643	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_parainfluenzae
7efcbe92466c1fa22231593521305dd6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
dcbdf5fb83cba103562e6c0a0b5c8c31	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_melaninogenica
7ad780a45078dfbf836a95b36c45deef	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_periodonticum
94ea0cf0f0fc7c8f21b14c876a6531e5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
3074bb41aedea5570b07a060bf4b69bf	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
863baabe1481f5f03d1272ce4b32bbcc	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned
f965a671b905639699196aaa0a6bb401	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Unassigned
3b0324511e96887e279727316d44e9b7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned
f662f77840121b3d51dc129643a2ba23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
a9c254129f7a6ae57816b4a3a02809c0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Unassigned
62975596ec83abe05eb667fabcf4dae7	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_aeria
6b3e668d3a5e0c8e67160dde23e4ea09	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_parainfluenzae
b90a25d9870de1984abe52f12ecc90c0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_histicola
e6050f1b1452a4f498ea2f4a31eac40a	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_melaninogenica
05159ecef60dee0c9275914d41c8fd53	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned
af55a51d70309b5a90881e13baeaa35f	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Unassigned
da79c389cd23dd866ee1008ef5c248ab	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas_pasteri
ceab618a6d5d915ae7a6338c9efd0fa5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned
4e29949fbf33f687665c7ec95d0b1b26	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	Unassigned
887a09354d908590ad7bb6d121043e8a	Bacteria	Firmicutes	Negativicutes	Veillonellales_Selenomonadales	Veillonellaceae	Veillonella	Unassigned
981a06d7150093f09fd2672f5b9c8286	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned
fd9293c3f107b768237906f08e8f5551	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	Unassigned
6aa79099f5fbaebb9324d51973e8e79e	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned
717df1c5c615e57870a5681e8e658d28	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
5bba92bd5abf2811d47296328cb0a770	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
bba7962c72382d5f803e5df5497f9d83	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
61749f28d7b0c6241961e12e406b6a5c	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Unassigned
59248902514ffc2a26fc591405da4fc1	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_dentocariosa
1caecd4f3bb39e2b3b2b44973e0a7482	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa
3351b6b4b501bb5bb64917766cafec5b	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Haemophilus_parahaemolyticus
b5d49db9d9ccb60a34050267bfcc36fe	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Unassigned
2f4a2b08eec8d8d5f66dc0d20552881f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia_Shigella	Unassigned
5758229585a8759c0c84a25b1749431a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
dbba23495c133cc40f6aceba673d8246	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
64f0e2b10b2ac63008334586cda646c5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned
4ab9ae12d7e08236fa75364480ad4799	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned
6d1a5d81599f24de069bfd7572a16f76	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_sanguinis
4e93d93a955df829d981fe314112c173	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Unassigned
b129a4cfff675781dfc6a357137d592d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_histicola
49406695cb6497e0b27f29b8ca9e65f0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned
c48dabaefad50d873140cb647b97f33b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Unassigned
